FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=97.0 deg, Strike=7.0 deg
SITES:            15
   pb44
   pb43
   pb42
   pb41
   pb40
   pb39
   pb37
   pb35
   pb23
   pb25
   pb27
   pb29
   pb30
   pb32
   pb33
OFFSETS (M):      
   0.0
   2003.4
   3006.2
   3792.8
   4340.2
   4710.8
   5749.0
   6464.4
   7263.5
   7861.3
   8758.1
   9701.6
   10250.2
   11974.7
   14004.2
FREQUENCIES:      19
   7.812500e+01
   6.250000e+01
   4.687500e+01
   3.906250e+01
   3.125000e+01
   2.343750e+01
   1.953125e+01
   1.562500e+01
   1.171875e+01
   9.765625e+00
   7.812500e+00
   6.250000e+00
   4.687500e+00
   3.906250e+00
   3.125000e+00
   2.343750e+00
   1.953125e+00
   1.562500e+00
   1.171875e+00
DATA BLOCKS:      1140
SITE  FREQ  TYPE   DATUM    ERROR   
  7     8     6     50.9024   2.8660
  7     9     1      0.6292   0.0434
  7     9     2     53.5775   2.8660
  7     9     5      0.6282   0.0434
  7     9     6     50.2679   2.8660
  7     10    1      0.5822   0.0434
  7     10    2     54.2380   2.8660
  7     10    5      0.5522   0.0434
  7     10    6     52.3368   2.8660
  7     11    1      0.5896   0.0434
  7     11    2     54.4288   2.8660
  7     11    5      0.5684   0.0434
  7     11    6     50.7237   2.8660
  7     12    1      0.5812   0.0434
  7     12    2     54.1927   2.8660
  7     12    5      0.5876   0.0434
  7     12    6     50.9427   2.8660
  7     13    1      0.5303   0.0434
  7     13    2     52.7425   2.8660
  7     13    5      0.5533   0.0434
  7     13    6     49.5404   2.8660
  7     14    1      0.4634   0.0434
  7     14    2     50.3638   2.8660
  7     14    5      0.4903   0.0434
  7     14    6     47.2418   2.8660
  7     15    1      0.4612   0.0434
  7     15    2     45.9034   2.8660
  7     15    5      0.4788   0.0434
  7     15    6     44.6345   2.8660
  7     16    1      0.5522   0.0434
  7     16    2     38.2376   2.8660
  7     16    5      0.4806   0.0434
  7     16    6     40.5557   2.8660
  7     17    1      0.4533   0.0573
  7     17    2     37.2859   3.7794
  7     17    5      0.5013   0.0434
  7     17    6     38.4951   2.8660
  7     18    1      0.4256   0.0446
  7     18    2     34.0943   2.9458
  7     18    5      0.5186   0.0434
  7     18    6     35.2706   2.8660
  7     19    1      1.0399   0.0434
  7     19    2     24.1379   2.8660
  7     19    5      0.6509   0.0531
  7     19    6     46.9872   3.5048
  8     1     1      0.6940   0.0434
  8     1     2     53.9825   2.8660
  8     1     5      0.6016   0.0434
  8     1     6     54.6569   2.8660
  8     2     1      0.6699   0.0434
  8     2     2     52.5054   2.8660
  8     2     5      0.5866   0.0434
  8     2     6     52.1536   2.8660
  8     3     1      0.6763   0.0434
  8     3     2     50.6841   2.8660
  8     3     5      0.6037   0.0434
  8     3     6     50.1048   2.8660
  8     4     1      0.6533   0.0434
  8     4     2     52.2042   2.8660
  8     4     5      0.5725   0.0434
  8     4     6     51.8009   2.8660
  8     5     1      0.6548   0.0434
  8     5     2     51.8382   2.8660
  8     5     5      0.5705   0.0434
  8     5     6     51.1670   2.8660
  8     6     1      0.6287   0.0434
  8     6     2     51.5607   2.8660
  8     6     5      0.5446   0.0434
  8     6     6     50.6267   2.8660
  8     7     1      0.6179   0.0434
  8     7     2     51.9776   2.8660
  8     7     5      0.5398   0.0434
  8     7     6     50.7422   2.8660
  8     8     1      0.5995   0.0434
  8     8     2     52.0001   2.8660
  8     8     5      0.5130   0.0434
  8     8     6     50.7681   2.8660
  8     9     1      0.6004   0.0434
  8     9     2     52.2244   2.8660
  8     9     5      0.5246   0.0434
  8     9     6     50.4688   2.8660
  8     10    1      0.5416   0.0434
  8     10    2     53.8779   2.8660
  8     10    5      0.4438   0.0434
  8     10    6     51.9914   2.8660
  8     11    1      0.5490   0.0434
  8     11    2     53.1090   2.8660
  8     11    5      0.4635   0.0434
  8     11    6     50.9521   2.8660
  8     12    1      0.6274   0.0434
  8     12    2     53.5663   2.8660
  8     12    5      0.5666   0.0434
  8     12    6     52.0473   2.8660
  8     13    1      0.5689   0.0434
  8     13    2     52.8573   2.8660
  8     13    5      0.5273   0.0434
  8     13    6     51.1373   2.8660
  8     14    1      0.4442   0.0434
  8     14    2     50.3236   2.8660
  8     14    5      0.4044   0.0434
  8     14    6     47.5687   2.8660
  8     15    1      0.4100   0.0434
  8     15    2     48.3035   2.8660
  8     15    5      0.3899   0.0434
  8     15    6     45.0811   2.8660
  8     16    1      0.3896   0.0434
  8     16    2     41.9324   2.8660
  8     16    5      0.3890   0.0434
  8     16    6     41.3392   2.8660
  8     17    1      0.3780   0.0475
  8     17    2     38.0051   3.1340
  8     17    5      0.3853   0.0434
  8     17    6     39.0344   2.8660
  8     18    1      0.4010   0.0498
  8     18    2     35.3641   3.2897
  8     18    5      0.4063   0.0434
  8     18    6     35.6521   2.8660
  8     19    1      0.4918   0.0585
  8     19    2     25.6708   3.8588
  8     19    5      0.4572   0.0434
  8     19    6     33.7701   2.8660
  9     1     1      0.6304   0.0434
  9     1     2     52.4050   2.8660
  9     1     5      0.6892   0.0434
  9     1     6     53.1894   2.8660
  9     2     1      0.6129   0.0434
  9     2     2     50.5731   2.8660
  9     2     5      0.6682   0.0434
  9     2     6     50.6877   2.8660
  9     3     1      0.6202   0.0434
  9     3     2     48.8110   2.8660
  9     3     5      0.6869   0.0434
